delta,dte,flat_sharpe,skew_sharpe,flat_ann_return,skew_ann_return
0.05,21,-0.277147667492666,-0.1635514999780727,0.026357469079711038,0.03569665151603618
0.05,30,-0.26555117743056456,-0.10477180063606106,0.02611252949394549,0.03654347561255755
0.05,42,-0.21413151067082759,-0.0038574733944136998,0.026692031577182584,0.03964943888273331
0.05,63,-0.17280346714894937,0.05958550093581219,0.029073472631117703,0.042586006772596274
0.1,21,-0.1488892595725667,0.022602940600486596,0.03060626322943083,0.04094490537026818
0.1,30,-0.1490575103194211,0.009178411855452593,0.030244500022256426,0.040339198568599244
0.1,42,-0.12300828265120994,0.05467380429007375,0.03030078287980964,0.042336877736007805
0.1,63,-0.09782799731667298,0.07595812768413468,0.03215114890246262,0.04344086049154905
0.15,21,-0.051982861403968586,0.11469915092830871,0.03541056189513925,0.04525934003993082
0.15,30,-0.06337582589075473,0.08950444725439285,0.03454430164245581,0.04406069330542994
0.15,42,-0.05696541441871487,0.09941188031472734,0.03393028261419162,0.04483336744398003
0.15,63,-0.04146404546317479,0.10759829668551464,0.035230916082601205,0.0452989790347047
0.2,21,0.01952725899229006,0.16906204745160253,0.03975210309770505,0.04878632212091194
0.2,30,0.003295112833864456,0.1421322522586208,0.038580385664476635,0.04725479822488232
0.2,42,-0.0007011281380073499,0.12934464005885035,0.03769195875209652,0.04692860458449455
0.2,63,0.005117385181397504,0.12836897487747792,0.0382697542653434,0.04682096373146072
0.25,21,0.08012299401761912,0.20085557708024146,0.04413574479297644,0.05155865150821759
0.25,30,0.060049074538462706,0.17284658874759234,0.04259823193368151,0.04971076631891358
0.25,42,0.046057494227156534,0.15179948786000655,0.041239988220707735,0.048874432702253445
0.25,63,0.04261892493732377,0.14109001075388775,0.041031899238858305,0.04803339675805707
0.3,21,0.13271790932321048,0.22516170521325832,0.048457369787556104,0.0541411983873592
0.3,30,0.11049422415362245,0.19676370446938832,0.04661722867128981,0.051987629745448904
0.3,42,0.09008290646335845,0.16764672584013207,0.04503716741878594,0.050625349975468525
0.3,63,0.07559823940292629,0.14659643031192296,0.04375312632882933,0.0488898341215207
