date,net,cor_z,vix_z,vrp_z,cor,vix,vrp
2007-01-04,0.221045,-0.9711636879297822,-0.5762637809909074,,21.5,11.51,0.0567
2007-01-05,0.222089,-0.5146532007882519,-0.29637432531586194,,24.53,12.14,0.06059
2007-01-08,0.221866,-0.9197165820991989,-0.360364584327035,,21.83,12.0,0.0588
2007-01-09,0.221708,-0.7905815060997753,-0.40197737301915093,,22.68,11.91,0.05958
2007-01-10,0.220957,-1.1035612884981019,-0.6005332661164838,,20.59,11.47,0.05513
2007-01-11,0.219931,-1.354848855930369,-0.8695131026963161,,18.9,10.87,0.04579
2007-01-12,0.218626,-1.7614345871471342,-1.1913074058192303,,16.16,10.15,0.03699
2007-01-16,0.219737,-1.7370379996238334,-0.9249263078044853,,16.26,10.74,0.04291
2007-01-17,0.219454,-1.6985953049768938,-0.9903878119599742,,16.46,10.59,0.04823
2007-01-18,0.219908,-1.6406229271453945,-0.8724686177449456,,16.79,10.85,0.04994
2007-01-19,0.219099,-1.5451394763926463,-1.0698116668606426,,17.37,10.4,0.04583
2007-01-22,0.219744,-1.2414250780783853,-0.8999649076306424,,19.38,10.77,0.04691
2007-01-23,0.218972,-1.3265094672049658,-1.0873153726093545,,18.78,10.34,0.04157
2007-01-24,0.218178,-1.5150583565649358,-1.2780420550259775,,17.42,9.89,0.03245
2007-01-25,0.220562,-0.7529078325473438,-0.6799578608624076,,22.58,11.22,0.03625
2007-01-26,0.220392,-0.6809749649151916,-0.7154869733980949,,23.06,11.13,0.0365
2007-01-29,0.220952,-0.4731668264229913,-0.5706073927933053,,24.48,11.45,0.04386
2007-01-30,0.220121,-0.6528701571846703,-0.7845204395219963,,23.24,10.96,0.0362
2007-01-31,-0.53375,-0.9333571473084278,-1.0197338961887839,,21.3,10.42,0.02966
2007-02-01,-1.016005,-0.7601980803828233,-1.0625884861351027,,22.47,10.31,0.02723
2007-02-02,-1.016158,-0.9448806030786865,-1.1564939496529059,-0.5486327476533684,21.18,10.08,0.0249
2007-02-05,-1.015834,-0.8292930680359282,-0.9440142684386037,-0.03829670739008917,21.95,10.55,0.03373
2007-02-06,-1.015762,-0.7692538841579133,-0.8941555865741532,0.022132292125399255,22.33,10.65,0.03478
2007-02-07,-1.015976,-0.7537313168884009,-1.0326229259528052,-0.15333707560803586,22.41,10.32,0.03176
2007-02-08,-1.015902,-0.6667753805673363,-0.9736078067185571,-0.11065079163343818,23.0,10.44,0.03248
2007-02-09,-0.171218,-0.18146772460742558,-0.680008785334604,0.10873074602769173,26.35,11.1,0.03626
2007-02-12,-1.015258,0.06263470948159147,-0.4551058645040827,0.43971830958111907,28.05,11.61,0.04204
2007-02-13,-1.015993,-0.7510388588373907,-1.003283582242826,-0.54894755110077,22.4,10.34,0.02495
2007-02-14,-1.01601,-0.6355482769163322,-1.044590493120791,-0.8207744836113038,23.18,10.23,0.02022
2007-02-15,-1.016009,-0.5247084355374172,-1.0415154943702762,-0.7537241362811081,23.93,10.22,0.02131
2007-02-16,-1.016162,-0.6054377651567221,-1.1221089863892681,-0.8695461725641972,23.36,10.02,0.01934
2007-02-20,-1.015979,-0.3291971351331508,-1.0208241858438833,-0.5727204596636563,25.28,10.24,0.02451
2007-02-21,0.218872,-0.07700698465340297,-1.034266113651796,-0.6064144557886041,27.05,10.2,0.02404
